C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_414.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_414.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_414.jpg,-0.15,0,0,5.672957
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_480.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_480.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_480.jpg,0,0,0,5.633657
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_553.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_553.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_553.jpg,0,0,0,5.587945
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_625.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_625.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_625.jpg,0,0,0,5.554219
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_697.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_697.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_697.jpg,0,0,0,5.509588
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_769.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_769.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_769.jpg,0,0.2419299,0,5.610672
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_841.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_841.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_841.jpg,0,0.4346403,0,5.837344
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_915.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_915.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_915.jpg,0,0.678861,0,6.339047
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_56_984.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_56_984.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_56_984.jpg,-0.05,0.8425603,0,6.863348
C:\MINI PROJECT\DATA\IMG\center_2024_08_30_18_49_57_056.jpg,C:\MINI PROJECT\DATA\IMG\left_2024_08_30_18_49_57_056.jpg,C:\MINI PROJECT\DATA\IMG\right_2024_08_30_18_49_57_056.jpg,-0.25,1,0,7.724765
